Cancer,Kernel Combo,C,std,2* median(p-value),total_slides
BRCA,K_topic,0.7047615945210893,0.06901668804062948,0.024277800525484863,956
BRCA,K_wsi,0.6423804589396546,0.08822488751976112,0.4654788208789641,956
BRCA,K_topic+K_wsi,0.7181155769577235,0.07037703959556392,0.026475614923840568,956
BRCA,K_topic*K_wsi,0.7118956746263687,0.06733904491616975,0.19061513248728124,956
